BUSBY2020_abh9	BUSBY2020	Asia	Western_Asia	Abkhazia	Abkhasian	Microarray
1000G_HG00142	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00143	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00144	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00145	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00146	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00147	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00148	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00149	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00150	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00151	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00152	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00153	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00154	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00155	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00156	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00157	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00158	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00159	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00160	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00171	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00173	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00174	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00176	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00177	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00178	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00179	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00180	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00181	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00182	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00183	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00185	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00186	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00187	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00188	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00189	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00190	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00231	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00232	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00233	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00234	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00235	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00236	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00237	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00238	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00239	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00240	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00242	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00243	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00244	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00245	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00246	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00247	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00248	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00249	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00250	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00251	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00252	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00253	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00254	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00255	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00256	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00257	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00258	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00259	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00260	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00261	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00262	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00263	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00264	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00265	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00266	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00267	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00268	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00269	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00270	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00271	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00272	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00273	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00274	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00275	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00276	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00277	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00278	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00280	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00281	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00282	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00284	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00285	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00288	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00290	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00302	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00303	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00304	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00306	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00308	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00309	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00310	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00311	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00312	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00313	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00315	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00318	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00319	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00320	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00321	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00323	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00324	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00325	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00326	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00327	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00328	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00329	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00330	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00331	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00332	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00334	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00335	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00336	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00337	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00338	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00339	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00341	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00342	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00343	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00344	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00345	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00346	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00349	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00350	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00351	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00353	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00355	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00356	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00357	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00358	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00359	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00360	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00361	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00362	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00364	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00365	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00366	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00367	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00368	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00369	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00371	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00372	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00373	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00375	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00376	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00377	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00378	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00379	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00380	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00381	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00382	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00383	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00384	1000G	Europe	North_Europe	Finland	Finish	Whole_genome_sequencing
1000G_HG00403	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00404	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00405	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00406	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00407	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00408	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00409	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00410	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00411	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00418	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00419	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00420	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00421	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00422	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00423	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00427	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00428	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00429	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00436	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00437	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00438	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00442	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00443	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00444	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00445	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00446	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00447	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00448	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00449	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00450	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00451	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00452	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00453	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00457	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00458	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00459	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00463	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00464	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00465	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00472	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00473	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00474	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00475	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00476	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00477	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00478	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00479	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00480	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00500	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00501	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00502	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00512	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00513	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00514	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00524	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00525	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00526	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00530	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00531	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00532	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00533	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00534	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00535	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00536	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00537	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00538	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00542	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00543	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00544	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00551	1000G	America	Admixed_America	Puerto_Rico	Puerto_Rican	Whole_genome_sequencing
1000G_HG00552	1000G	America	Admixed_America	Puerto_Rico	Puerto_Rican	Whole_genome_sequencing
1000G_HG00553	1000G	America	Admixed_America	Puerto_Rico	Puerto_Rican	Whole_genome_sequencing
1000G_HG00554	1000G	America	Admixed_America	Puerto_Rico	Puerto_Rican	Whole_genome_sequencing
1000G_HG00555	1000G	America	Admixed_America	Puerto_Rico	Puerto_Rican	Whole_genome_sequencing
1000G_HG00556	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00557	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00558	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00559	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00560	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00561	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00565	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00566	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00567	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00577	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00578	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00579	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00580	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00581	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00582	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00583	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00584	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00585	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00589	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00590	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00591	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00592	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00593	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00594	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00595	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00596	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00597	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00598	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00599	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
1000G_HG00600	1000G	Asia	East_Asia	China	Han_Southern_China	Whole_genome_sequencing
